verb_root,1st_singular,2nd_singular,3rd_masc_singular,3rd_fem_singular,1st_plural,3rd_plural
ಹೋಗು,ಹೋಗುತ್ತೇನೆ,ಹೋಗುತ್ತೀಯಾ,ಹೋಗುತ್ತಾನೆ,ಹೋಗುತ್ತಾಳೆ,ಹೋಗುತ್ತೇವೆ,ಹೋಗುತ್ತಾರೆ
ಬರು,ಬರುತ್ತೇನೆ,ಬರುತ್ತೀಯಾ,ಬರುತ್ತಾನೆ,ಬರುತ್ತಾಳೆ,ಬರುತ್ತೇವೆ,ಬರುತ್ತಾರೆ
ಓದು,ಓದುತ್ತೇನೆ,ಓದುತ್ತೀಯಾ,ಓದುತ್ತಾನೆ,ಓದುತ್ತಾಳೆ,ಓದುತ್ತೇವೆ,ಓದುತ್ತಾರೆ
ತಿನ್ನು,ತಿನ್ನುತ್ತೇನೆ,ತಿನ್ನುತ್ತೀಯಾ,ತಿನ್ನುತ್ತಾನೆ,ತಿನ್ನುತ್ತಾಳೆ,ತಿನ್ನುತ್ತೇವೆ,ತಿನ್ನುತ್ತಾರೆ
